id,type,radius,labels
2554387188,tag,2,Plants|Neutral_Illumination|Building_Sights|Outdoor|No_Blur|Aesthetic_Impression|Visual_Arts|Sunny|Spring|calm|Sky|Trees|inactive|cute|Architecture|No_Persons|Day|Citylife
2503618028,tag,3,Neutral_Illumination|Overall_Quality|Visual_Arts|abstract|No_Persons|active|Out_of_focus|Aesthetic_Impression|happy
2293671305,tag,4,Plants|Neutral_Illumination|Partly_Blurred|No_Persons|calm|Park_Garden|Flowers|Day|flower
1489274672,tag,5,Plants|Neutral_Illumination|natural|Visual_Arts|Partly_Blurred|No_Persons|calm|Park_Garden|Flowers|Day|happy|flower
2276050464,userandtag,6,melancholic|Neutral_Illumination|Animals|Visual_Arts|Partly_Blurred|Indoor|No_Persons|unpleasant|cute|natural|Day
2293542733,userandtag,1,Partly_Blurred|Outdoor|Animals|Winter|Visual_Arts|Neutral_Illumination|No_Persons|Snow|dog|cute|calm|natural|Day|dog
2461894352,tag,2,Neutral_Illumination|Outdoor|No_Blur|No_Persons|artificial|inactive|Day|Citylife
2535270260,tag,3,Neutral_Illumination|Overall_Quality|Outdoor|No_Blur|Sky|No_Persons|Fancy|inactive|Day
2454829092,tag,4,Summer|Outdoor|Animals|Visual_Arts|Partly_Blurred|No_Persons|bird|Water|calm|active|natural|happy|Day|Neutral_Illumination|bird
2489594532,tag,5,Plants|Summer|Outdoor|natural|Neutral_Illumination|Partly_Blurred|No_Persons|cute|calm|Park_Garden|Flowers|Day|happy|flower
2180138491,tag,6,Neutral_Illumination|natural|Indoor|No_Persons|inactive|No_Blur
770083313,tag,1,Partly_Blurred|Neutral_Illumination|Family_Friends|Macro|Indoor|Child|female|Single_Person|Portrait|male|funny|happy|portrait|female|people
2499230371,tag,2,Neutral_Illumination|Toy|No_Blur|Visual_Arts|No_Persons|calm
2495012746,tag,3,Plants|Partly_Blurred|Overall_Quality|Outdoor|natural|Neutral_Illumination|No_Persons|Fancy|inactive|cute|artificial|Night|Flowers|calm|flower
2346319457,tag,4,Plants|Neutral_Illumination|Overall_Quality|Outdoor|Clouds|calm|Visual_Arts|cute|No_Persons|Sky|natural|inactive|Architecture|No_Blur|Day|Citylife|clouds
2625785361,tag,5,Partly_Blurred|Building_Sights|Outdoor|cute|Underexposed|No_Persons|inactive|Night|Travel|happy
2442304702,tag,6,Neutral_Illumination|Building_Sights|Outdoor|No_Blur|calm|Visual_Arts|cute|No_Persons|Sunny|Fancy|artificial|inactive|Architecture|Day|Citylife
2324382857,tag,1,Plants|Neutral_Illumination|Outdoor|Winter|Partly_Blurred|Macro|No_Persons|Snow|Trees|cute|Day
2344480591,tag,2,Plants|Neutral_Illumination|Outdoor|No_Blur|cute|No_Persons|Water|Landscape_Nature|natural|River|Day
2270520064,tag,3,Partly_Blurred|Outdoor|Neutral_Illumination|car|No_Persons|Vehicle|active|Day|Citylife
2337557654,tag,4,Neutral_Illumination|Building_Sights|Outdoor|Clouds|Visual_Arts|No_Persons|Sky|Overall_Quality|inactive|natural|Architecture|Night|No_Blur|Aesthetic_Impression|Still_Life|calm|clouds|night
2366173236,tag,5,Neutral_Illumination|Building_Sights|Outdoor|Clouds|Sunny|Sky|natural|Fancy|dog|inactive|Street|Architecture|Animals|No_Blur|No_Persons|Day|calm
2274327896,user,6,Plants|Neutral_Illumination|Outdoor|Visual_Arts|Partly_Blurred|Spring|abstract|No_Persons|Landscape_Nature|unpleasant|Flowers|Day|flower
2120882132,user,1,Neutral_Illumination|Partly_Blurred|Indoor|No_Persons|artificial|cute|Still_Life
2308588900,user,2,Plants|Neutral_Illumination|Outdoor|No_Blur|Visual_Arts|cute|No_Persons|Sunny|Trees|Water|Landscape_Nature|calm|natural|Aesthetic_Impression|River|Day|inactive
544930744,userandtag,3,cute|Travel|Sky|Sports|Animals|Mountains|horse|No_Blur|Sunny|Landscape_Nature|Adult|Day|Plants|Overall_Quality|Clouds|Neutral_Illumination|Single_Person|Summer|Outdoor|natural|Park_Garden|Portrait|Aesthetic_Impression|male|male|clouds|people
2539184147,userandtag,4,Neutral_Illumination|Outdoor|No_Blur|No_Persons|inactive|Day
2441332480,user,5,Neutral_Illumination|Outdoor|Clouds|No_Persons|Sky|natural|inactive|Landscape_Nature|calm|No_Blur|Day|clouds
2089164107,user,6,melancholic|Neutral_Illumination|Outdoor|No_Blur|cute|No_Persons|Fancy|Architecture|natural|Aesthetic_Impression|Painting|Day|Citylife|male|people
2609758111,user,1,Plants|Neutral_Illumination|Overall_Quality|Outdoor|Animals|Partly_Blurred|No_Persons|Sunny|Trees|bird|Landscape_Nature|cute|calm|Park_Garden|natural|Day|tree|bird
2535983848,user,2,Neutral_Illumination|Overall_Quality|No_Blur|technical|No_Persons|artificial|inactive|Vehicle|airplane
1251604768,user,3,Plants|Summer|Building_Sights|Outdoor|Clouds|calm|Neutral_Illumination|No_Persons|Sky|Trees|artificial|Water|Architecture|Landscape_Nature|cute|Fancy|Night|No_Blur|Aesthetic_Impression|Citylife
2599333769,user,4,Plants|Partly_Blurred|natural|Visual_Arts|Neutral_Illumination|Macro|No_Persons|cute|calm|Park_Garden|Flowers|flower
961800965,user,5,Neutral_Illumination|No_Blur|cute|Indoor|No_Persons|artificial|inactive|calm
2454762551,user,6,Neutral_Illumination|Outdoor|No_Blur|calm|Visual_Arts|No_Persons|Architecture|natural|Day|Citylife
2517967584,user,1,Plants|Neutral_Illumination|Overall_Quality|natural|Visual_Arts|Partly_Blurred|No_Persons|cute|calm|Flowers|flower
2313312045,user,2,melancholic|Neutral_Illumination|Partly_Blurred|Indoor|No_Persons|Fancy|inactive
2314435592,user,3,Plants|Summer|Outdoor|No_Blur|Neutral_Illumination|Macro|Sunny|cute|calm|natural|No_Persons|Flowers|Day|happy|flower
2262947268,tag,4,Neutral_Illumination|Outdoor|cute|Partly_Blurred|No_Persons|funny|Day|female|people
2441604368,tag,5,Neutral_Illumination|No_Blur|Indoor|No_Persons|Fancy|inactive|artificial|Shadow|bodypart
2226095390,tag,6,melancholic|Neutral_Illumination|Building_Sights|Outdoor|Clouds|Visual_Arts|cute|technical|No_Persons|Sky|artificial|Water|Landscape_Nature|unpleasant|No_Blur|Aesthetic_Impression|inactive
1395371728,tag,1,Neutral_Illumination|Partylife|Visual_Arts|technical|abstract|No_Persons|Outdoor|Night|active|Motion_Blur
2323046136,tag,2,Neutral_Illumination|Partylife|natural|Big_Group|Family_Friends|Indoor|euphoric|Motion_Blur|happy|male|female|people
2527269736,tag,3,Plants|Neutral_Illumination|Outdoor|Clouds|No_Persons|Sky|Trees|Landscape_Nature|Night|natural|Motion_Blur|tree
2343821676,tag,4,Neutral_Illumination|No_Blur|Visual_Arts|cute|Indoor|No_Persons|inactive|Architecture|Aesthetic_Impression
1246817568,tag,5,Plants|Partly_Blurred|natural|Neutral_Illumination|Macro|No_Persons|Fancy|inactive|cute|calm|Flowers|flower
2617502594,tag,6,Plants|Partly_Blurred|Overall_Quality|natural|Neutral_Illumination|Macro|No_Persons|Landscape_Nature|cute|calm|Park_Garden|Aesthetic_Impression|Flowers|flower
2321446188,tag,1,Neutral_Illumination|Outdoor|Sunset_Sunrise|Visual_Arts|cute|No_Persons|Sky|natural|Landscape_Nature|calm|No_Blur|Day
2601029204,tag,2,Overall_Quality|Outdoor|Clouds|Visual_Arts|No_Persons|Underexposed|Sky|natural|Rain|Water|Landscape_Nature|Sea|Sunset_Sunrise|Aesthetic_Impression|Day|No_Blur
2208459009,tag,3,Neutral_Illumination|Outdoor|Sunset_Sunrise|Visual_Arts|cute|No_Persons|Sky|natural|Day|Water|Landscape_Nature|calm|Sea|No_Blur|Aesthetic_Impression|Beach_Holidays|sea
2297401300,tag,4,melancholic|Neutral_Illumination|cute|Family_Friends|Indoor|Partly_Blurred|Adult|Single_Person|male|portrait|male|people
2306249760,tag,5,sky|clouds|snow|Neutral_Illumination|Outdoor|Clouds|Winter|Visual_Arts|Sunny|Sky|Snow|natural|Landscape_Nature|calm|No_Blur|No_Persons|Day|clouds
2016687372,tag,6,Plants|Neutral_Illumination|Building_Sights|Outdoor|No_Blur|Aesthetic_Impression|cute|Sunny|Sky|Overall_Quality|Trees|Water|Landscape_Nature|Architecture|natural|No_Persons|River|Day|calm
2271543822,tag,1,Plants|Partly_Blurred|Overall_Quality|natural|Visual_Arts|Overexposed|Macro|No_Persons|Fancy|cute|Aesthetic_Impression|Still_Life|flower
2308468179,tag,2,Plants|Summer|Outdoor|natural|Big_Group|Neutral_Illumination|Family_Friends|happy|Partly_Blurred|euphoric|Fancy|Teenager|female|male|Day|Adult|portrait|male|female|people
2142819867,tag,3,Plants|Summer|Small_Group|Outdoor|No_Blur|Neutral_Illumination|Family_Friends|Sunny|Sky|natural|Trees|Water|funny|Landscape_Nature|cute|Child|active|Portrait|male|Day|happy|portrait|male|people
2323772638,tag,4,town|buildings|clouds|reflection|sky|water|cute|Travel|Sky|Vehicle|ship|Citylife|Building_Sights|No_Blur|euphoric|Trees|Water|calm|Day|Plants|Overall_Quality|Clouds|River|Neutral_Illumination|Outdoor|natural|No_Persons|Aesthetic_Impression
1712928840,tag,5,Plants|Summer|Outdoor|Clouds|melancholic|Neutral_Illumination|No_Persons|Travel|Sky|natural|Trees|Water|Landscape_Nature|Fancy|Vehicle|No_Blur|Aesthetic_Impression|River|Day|clouds
2292140758,tag,6,Partly_Blurred|Visual_Arts|Neutral_Illumination|Indoor|No_Persons|Still_Life|inactive|cute|calm|Day|happy
2538457291,user,1,rocks|Neutral_Illumination|Overall_Quality|Outdoor|No_Blur|funny|No_Persons|Sunny|Fancy|Day|Water|Sea|Beach_Holidays
2364058216,user,2,Plants|Neutral_Illumination|Overall_Quality|Outdoor|Clouds|Visual_Arts|No_Blur|happy|old_person|Sky|natural|Trees|funny|Street|Night|Portrait|male|Single_Person|Citylife|portrait|male|night|people
2251566420,user,3,Neutral_Illumination|Building_Sights|Outdoor|Sunset_Sunrise|No_Persons|Night|No_Blur|happy|night
2247037923,user,4,Partly_Blurred|Neutral_Illumination|Fancy|Adult|female|Single_Person|Portrait|male|happy|portrait|female|people
2233392032,user,5,Neutral_Illumination|Building_Sights|Outdoor|No_Blur|Visual_Arts|boring|No_Persons|euphoric|Fancy|Architecture|active|Aesthetic_Impression
847983048,user,6,Neutral_Illumination|Building_Sights|Outdoor|No_Blur|calm|Visual_Arts|cute|technical|Sky|Sunny|Aesthetic_Impression|inactive|Architecture|No_Persons|Day|Citylife
2265396136,user,1,Neutral_Illumination|Toy|No_Blur|cute|Food|Indoor|No_Persons
1571913658,user,2,Neutral_Illumination|Outdoor|Visual_Arts|cute|technical|abstract|No_Persons|Fancy|artificial|active|Aesthetic_Impression|Motion_Blur
2430802424,user,3,Neutral_Illumination|Outdoor|No_Blur|Visual_Arts|No_Persons|Architecture|Night|natural|Citylife|night
2523129905,user,4,Neutral_Illumination|Overall_Quality|Toy|No_Blur|Visual_Arts|cute|No_Persons|Still_Life
1416169916,user,5,water|sky|grass|clouds|lake|Plants|Summer|Outdoor|Clouds|Visual_Arts|Mountains|No_Persons|Sky|Lake|Trees|Water|Landscape_Nature|cute|calm|natural|No_Blur|Flowers|Day|Neutral_Illumination|river
2614149427,user,6,Plants|Neutral_Illumination|Overall_Quality|Animals|Partly_Blurred|No_Persons|Fancy|insect|cute|natural|Aesthetic_Impression|Flowers|flower
